"";"title";"Year"
"334";"U-571";"2000"
"335";"Pollock";"2000"
"336";"Father and Daughter";"2000"
"337";"Into the Arms of Strangers: Stories of the Kindertransport";"2000"
"338";"Quiero ser (I want to be...)";"2000"
"339";"Big Mama";"2000"
"340";"American Beauty";"1999"
"341";"The Matrix";"1999"
"342";"The Cider House Rules";"1999"
"343";"Topsy-Turvy";"1999"
"344";"Sleepy Hollow";"1999"
"345";"Boys Don't Cry";"1999"
"346";"Tarzan";"1999"
"347";"One Day in September";"1999"
"348";"The Red Violin (Le violon rouge)";"1999"
"349";"The Old Man and the Sea";"1999"
"350";"My Mother Dreams the Satan's Disciples in New York";"1999"
"351";"King Gimp";"1999"
"352";"Girl, Interrupted";"1999"
"353";"All About My Mother (Todo sobre mi madre)";"1999"
"354";"Shakespeare in Love";"1998"
"355";"Saving Private Ryan";"1998"
"356";"Life Is Beautiful (La vita è bella)";"1998"
"357";"Elizabeth";"1998"
"358";"Gods and Monsters";"1998"
"359";"The Prince of Egypt";"1998"
"360";"Affliction";"1998"
"361";"What Dreams May Come";"1998"
"362";"The Personals";"1998"
"363";"The Last Days";"1998"
"364";"Election Night (Valgaften)";"1998"
"365";"Bunny";"1998"
"366";"Titanic";"1997"
"367";"Good Will Hunting";"1997"
"368";"L.A. Confidential";"1997"
"369";"As Good as It Gets";"1997"
"370";"The Full Monty";"1997"
"371";"Men in Black";"1997"
"372";"Visas and Virtue";"1997"
"373";"Character (Karakter)";"1997"
"374";"Geri's Game";"1997"
"375";"A Story of Healing";"1997"
"376";"The Long Way Home";"1997"
"377";"The English Patient";"1996"
"378";"Fargo";"1996"
"379";"Shine";"1996"
"380";"Evita";"1996"
"381";"Jerry Maguire";"1996"
"382";"Independence Day";"1996"
"383";"Emma";"1996"
"384";"Sling Blade";"1996"
"385";"The Ghost and the Darkness";"1996"
"386";"Kolya";"1996"
"387";"The Nutty Professor";"1996"
"388";"Quest";"1996"
"389";"When We Were Kings";"1996"
"390";"Breathing Lessons: The Life and Work of Mark O'Brien";"1996"
"391";"Dear Diary";"1996"
"392";"Braveheart";"1995"
"393";"Apollo 13";"1995"
"394";"Pocahontas";"1995"
"395";"The Usual Suspects";"1995"
"396";"Restoration";"1995"
"397";"Babe";"1995"
"398";"Sense and Sensibility";"1995"
"399";"Il Postino: The Postman";"1995"
"400";"Dead Man Walking";"1995"
"401";"Leaving Las Vegas";"1995"
"402";"Mighty Aphrodite";"1995"
"403";"Anne Frank Remembered";"1995"
"404";"A Close Shave";"1995"
"405";"Lieberman in Love";"1995"
"406";"One Survivor Remembers";"1995"
"407";"Antonia's Line (Antonia)";"1995"
"408";"Toy Story";"1995"
"409";"Forrest Gump";"1994"
"410";"The Lion King";"1994"
"411";"Speed";"1994"
"412";"Ed Wood";"1994"
"413";"Pulp Fiction";"1994"
"414";"Bullets Over Broadway";"1994"
"415";"The Madness of King George";"1994"
"416";"Legends of the Fall";"1994"
"417";"A Time for Justice";"1994"
"418";"Franz Kafka's It's a Wonderful Life";"1994"
"419";"Maya Lin: A Strong Clear Vision";"1994"
"420";"Burnt by the Sun (Utomlyonnye solntsem)";"1994"
"421";"Trevor";"1994"
"422";"The Adventures of Priscilla, Queen of the Desert";"1994"
"423";"Bob's Birthday";"1994"
"424";"Blue Sky";"1994"
"425";"Schindler's List";"1993"
"426";"The Piano";"1993"
"427";"Jurassic Park";"1993"
"428";"Philadelphia";"1993"
"429";"The Fugitive";"1993"
"430";"The Age of Innocence";"1993"
"431";"The Wrong Trousers";"1993"
"432";"Belle Epoque (The Beautiful Era)";"1993"
"433";"I Am a Promise: The Children of Stanton Elementary School";"1993"
"434";"Mrs. Doubtfire";"1993"
"435";"Black Rider (Schwarzfahrer)";"1993"
"436";"Defending Our Lives";"1993"
"437";"Unforgiven";"1992"
"438";"Howards End";"1992"
"439";"Bram Stoker's Dracula";"1992"
"440";"Aladdin";"1992"
"441";"The Crying Game";"1992"
"442";"Scent of a Woman";"1992"
"443";"A River Runs Through It";"1992"
"444";"Indochine";"1992"
"445";"My Cousin Vinny";"1992"
"446";"The Panama Deception";"1992"
"447";"Educating Peter";"1992"
"448";"The Last of the Mohicans";"1992"
"449";"Death Becomes Her";"1992"
"450";"Omnibus";"1992"
"451";"Mona Lisa Descending a Staircase";"1992"
"452";"The Silence of the Lambs";"1991"
"453";"Terminator 2: Judgment Day";"1991"
"454";"Bugsy";"1991"
"455";"JFK";"1991"
"456";"Beauty and the Beast";"1991"
"457";"Thelma & Louise";"1991"
"458";"The Fisher King";"1991"
"459";"In the Shadow of the Stars";"1991"
"460";"Manipulation";"1991"
"461";"Mediterraneo";"1991"
"462";"Session Man";"1991"
"463";"City Slickers";"1991"
"464";"Deadly Deception: General Electric, Nuclear Weapons and Our Environment";"1991"
"465";"Dances with Wolves";"1990"
"466";"Dick Tracy";"1990"
"467";"Ghost";"1990"
"468";"Goodfellas";"1990"
"469";"The Hunt for Red October";"1990"
"470";"Reversal of Fortune";"1990"
"471";"Cyrano de Bergerac";"1990"
"472";"American Dream";"1990"
"473";"Journey of Hope (Reise der Hoffnung)";"1990"
"474";"Days of Waiting";"1990"
"475";"Creature Comforts";"1990"
"476";"The Lunch Date";"1990"
"477";"Misery";"1990"
"478";"Total Recall";"1990"
"479";"Driving Miss Daisy";"1989"
"480";"Glory";"1989"
"481";"Born on the Fourth of July";"1989"
"482";"My Left Foot";"1989"
"483";"The Little Mermaid";"1989"
"484";"Dead Poets Society";"1989"
"485";"The Abyss";"1989"
"486";"Indiana Jones and the Last Crusade";"1989"
"487";"Henry V";"1989"
"488";"The Johnstown Flood";"1989"
"489";"Common Threads: Stories from the Quilt";"1989"
"490";"Cinema Paradiso";"1989"
"491";"Work Experience";"1989"
"492";"Batman";"1989"
"493";"Balance";"1989"
"494";"Rain Man";"1988"
